,Film,Year,Rotten Tomatoes' Top 100
64,Lady Bird,2017,12
61,Get Out,2017,15
40,Mad Max: Fury Road,2015,18
33,Spider-Man: Into the Spider-verse,2018,19
62,Moonlight,2016,20
77,A Quiet Place,2018,29
85,Logan,2017,34
79,Coco,2017,37
86,Thor: Ragnarok,2017,42
68,Black Panther,2018,5
16,Parasite,2019,6
22,Avengers: Endgame,2019,7
59,Gladiator,2000,unranked
54,Interstellar,2014,unranked
48,Lord of the Rings: The Two Towers,2002,unranked
63,Spirited Away,2001,unranked
42,Lord of the Rings: Return of the King,2003,unranked
41,Inception,2010,unranked
69,Whiplash,2014,unranked
75,Mulholland Drive,2001,unranked
76,In the Mood for Love,2000,unranked
36,The Dark Knight,2008,unranked
18,Lord of the Rings: The Fellowship of the Ring,2001,unranked
58,Avengers: Infinity War,2018,unranked
89,Eternal Sunshine of the Spotless Mind,2004,unranked
